"stop_id","stop_desc"
"acc_4_135_352","Calle de Luis del Campo SN"
"acc_4_135_353","Calle de José Arcones Gil 106"
"acc_4_136_354","Calle de Ascao 29"
"acc_4_138_355","Calle de Martínez Villergas 1"
"acc_4_138_356","Plaza de la Virgen del Romero 1"
"acc_4_139_357","Avda de Bruselas 57"
"acc_4_139_358","Avda de Bruselas 56"
"acc_4_13_44","Plaza de Tirso de Molina 14"
"acc_4_13_45","Plaza de Tirso de Molina 20"
"acc_4_140_359","Avda de América 32"
"acc_4_140_360","Avda de América 37"
"acc_4_142_361","Calle de Miguel Ángel 33"
"acc_4_142_362","Calle de José Abascal 65"
"acc_4_142_363","Calle de José Abascal 58"
"acc_4_143_364","Calle de José Abascal 26"
"acc_4_143_365","Calle de José Abascal 20"
"acc_4_143_366","Calle de José Abascal 20"
"acc_4_145_367","Calle de Cea Bermúdez 64"
"acc_4_145_368","Calle de Cea Bermúdez 55"
"acc_4_145_369","Calle de Cea Bermúdez 51"
"acc_4_145_370","Calle de Cea Bermúdez 50"
"acc_4_145_371","Calle de Cea Bermúdez 43"
"acc_4_147_372","Calle de Moguer 1"
"acc_4_147_373","Calle de Alejandro Rodríguez 39"
"acc_4_147_374","Avda de Pablo Iglesias 93"
"acc_4_147_375","Avda de Pablo Iglesias 96"
"acc_4_147_376","Avda de Pablo Iglesias 92"
"acc_4_148_377","Calle de San Restituto 72"
"acc_4_148_378","Calle de San Restituto 72"
"acc_4_148_379","Calle de San Restituto 58"
"acc_4_148_380","Calle de Arciniega 11"
"acc_4_149_381","Calle de Valderrodrigo 82"
"acc_4_149_382","Calle de Valderrodrigo 82"
"acc_4_149_383","Calle de Valderrodrigo 55"
"acc_4_14_46","Calle del Amor de Dios 14"
"acc_4_14_47","Plaza de Antón Martín 1"
"acc_4_14_49","Calle de Atocha 85"
"acc_4_14_50","Calle de Atocha 76"
"acc_4_150_384","Cmno de Ganapanes 35"
"acc_4_150_385","Cmno de Ganapanes SN"
"acc_4_150_386","Cmno de Ganapanes 35"
"acc_4_151_387","Calle de las Islas Cíes 23"
"acc_4_151_388","Calle de las Islas Cíes 21"
"acc_4_152_389","Calle de Ramón Gómez de la Serna 37"
"acc_4_152_390","Calle de Riscos de Polanco 5"
"acc_4_152_391","Calle de Riscos de Polanco 3"
"acc_4_154_392","Calle de Gloria Fuertes 1"
"acc_4_154_394","Calle de Gloria Fuertes 1"
"acc_4_156_409","Calle del Príncipe de Vergara 263"
"acc_4_156_410","Calle del Príncipe de Vergara 260"
"acc_4_156_411","Calle del Príncipe de Vergara 275"
"acc_4_156_412","Calle del Príncipe de Vergara 268"
"acc_4_156_413","Calle de Colombia 5"
"acc_4_158_414","Avda de la Capital de España Madrid 13"
"acc_4_158_415","Avda del Partenón 5"
"acc_4_158_416","Avda del Partenón 5"
"acc_4_158_417","Avda del Partenón 5"
"acc_4_159_418","Avda de la Hispanidad 1"
"acc_4_159_419","Avda de la Hispanidad 1"
"acc_4_159_420","Avda de la Hispanidad 1"
"acc_4_15_51","Plaza del Emperador Carlos V 11"
"acc_4_15_52","Paseo de la Infanta Isabel 1"
"acc_4_160_421","Avda de Logroño 347"
"acc_4_160_422","Avda de Logroño 347"
"acc_4_161_423","Calle de Ginzo de Limia 47"
"acc_4_161_424","Calle de Ginzo de Limia SN"
"acc_4_162_425","Calle de Ginzo de Limia 29"
"acc_4_162_426","Calle de Ginzo de Limia 36"
"acc_4_162_427","Calle de Ginzo de Limia 11"
"acc_4_162_428","Calle de Ginzo de Limia 2"
"acc_4_163_429","Avda de Asturias 33"
"acc_4_163_430","Avda de Asturias 34"
"acc_4_165_431","Calle de Mateo Inurria 58"
"acc_4_166_432","Avda de Pío XII 4"
"acc_4_166_433","Avda de Pío XII 16"
"acc_4_168_434","Calle del Príncipe de Vergara 204"
"acc_4_168_435","Calle de Príncipe de Vergara 246"
"acc_4_169_436","Calle del Príncipe de Vergara 146"
"acc_4_169_437","Calle del Príncipe de Vergara 157"
"acc_4_169_438","Calle del Príncipe de Vergara 131"
"acc_4_169_439","Calle del Príncipe de Vergara 128"
"acc_4_16_53","Paseo de la Infanta Isabel 11"
"acc_4_16_54","Paseo de la Infanta Isabel 15"
"acc_4_16_572","Paseo de la Infanta Isabel 11"
"acc_4_173_440","Calle de Ibiza 7"
"acc_4_175_441","Calle del Camino de los Vinateros 1"
"acc_4_175_442","Calle del Camino de los Vinateros 12"
"acc_4_175_443","Calle de Sirio 24"
"acc_4_176_444","Calle del Camino de los Vinateros 75"
"acc_4_176_445","Calle del Camino de los Vinateros 104"
"acc_4_176_446","Calle del Camino de los Vinateros 59"
"acc_4_176_447","Calle del Arroyo Belincoso 36"
"acc_4_177_448","Calle del Camino de los Vinateros 119"
"acc_4_177_449","Calle del Camino de los Vinateros 172"
"acc_4_177_450","Calle del Pico de los Artilleros 126"
"acc_4_177_451","Calle del Pico de los Artilleros 59"
"acc_4_178_452","Calle de la Hacienda de Pavones 215"
"acc_4_178_453","Calle de la Hacienda de Pavones 340"
"acc_4_178_803","Calle de la Hacienda de Pavones 342"
"acc_4_179_454","Bulv de Indalecio Prieto 20 A"
"acc_4_179_455","Bulv de Indalecio Prieto 22"
"acc_4_179_456","Bulv de Indalecio Prieto 33"
"acc_4_17_57","Avda de Menéndez Pelayo 123"
"acc_4_17_58","Avda de Menéndez Pelayo 44"
"acc_4_17_59","Calle de Gutenberg 1"
"acc_4_180_457","Paseo de los Artilleros 35"
"acc_4_180_458","Paseo de los Artilleros 14"
"acc_4_180_459","Paseo de los Artilleros 14"
"acc_4_181_460","Calle de San Cipriano 44"
"acc_4_181_461","Calle de San Cipriano 55"
"acc_4_181_462","Calle de San Cipriano 52"
"acc_4_182_463","Calle de San Cipriano 85"
"acc_4_182_464","Calle de San Cipriano 85"
"acc_4_182_465","Calle de San Cipriano 85"
"acc_4_183_467","Paseo  Ferrocarril 9"
"acc_4_184_468","Calle de Wenceslao García SN"
"acc_4_185_469","Ctra de Campo Real 20"
"acc_4_186_470","Paseo de la Estación 37"
"acc_4_187_471","Calle de la Fuente Chica 23"
"acc_4_188_472","Paseo de la Castellana 261"
"acc_4_188_473","Calle de San Modesto 10"
"acc_4_18_1050","Calle del Doctor Esquerdo 219"
"acc_4_18_60","Calle del Doctor Esquerdo 184"
"acc_4_18_61","Calle del Doctor Esquerdo 221"
"acc_4_18_62","Calle de Sánchez Barcaiztegui 1"
"acc_4_191_475","Paseo de la Castellana 125"
"acc_4_191_476","Paseo de la Castellana 162"
"acc_4_192_477","Paseo de la Castellana 101"
"acc_4_192_478","Paseo de la Castellana 136"
"acc_4_192_479","Paseo de la Castellana 101"
"acc_4_192_480","Paseo de la Castellana 142 B"
"acc_4_199_481","Paseo de la Puerta del Ángel SN"
"acc_4_19_63","Avda de la Albufera 12"
"acc_4_19_64","Avda de la Albufera 9"
"acc_4_19_65","Avda de Peña Prieta 2"
"acc_4_1_1","Paseo de la Castellana 189"
"acc_4_1_1040","Plaza de Castilla 9"
"acc_4_1_1043","Paseo de la Castellana 191 B"
"acc_4_1_1044","Paseo de la Castellana 189"
"acc_4_1_2","Paseo de la Castellana 189"
"acc_4_1_3","Calle de Bravo Murillo 377"
"acc_4_1_4","Plaza de Castilla 9"
"acc_4_1_773","Plaza de Castilla 3"
"acc_4_200_482","Calle de Villamanin 27"
"acc_4_200_483","Paseo de la Venta 1"
"acc_4_202_484","Calle de Fuentesauco 44"
"acc_4_202_485","Calle de Arenas de San Pedro 2"
"acc_4_202_486","Ctra de Carabanchel a Aravaca 56"
"acc_4_203_487","Paseo de Extremadura 573"
"acc_4_203_488","Paseo de Húsares 46"
"acc_4_203_489","Paseo de Extremadura 573"
"acc_4_203_490","Col  Militar de Cuatro Vientos 6 A"
"acc_4_204_491","Avda de la Libertad 2"
"acc_4_204_492","Avda de la Libertad 13"
"acc_4_204_493","Avda de la Libertad 13"
"acc_4_205_494","Avda de la Libertad 2"
"acc_4_205_495","Avda de la Libertad 3"
"acc_4_205_496","Avda de la Libertad 2"
"acc_4_205_497","Calle  Olímpico Francisco Fernández Ochoa SN"
"acc_4_207_498","Avda de Abrantes 79"
"acc_4_207_499","Avda de Abrantes 52"
"acc_4_207_500","Avda de Abrantes 54"
"acc_4_208_501","Avda de Abrantes 122"
"acc_4_208_502","Avda de Abrantes 289"
"acc_4_208_503","Avda de Abrantes 122"
"acc_4_20_66","Avda de la Albufera 54"
"acc_4_20_67","Avda de la Albufera 47"
"acc_4_20_68","Avda de la Albufera 69"
"acc_4_20_69","Avda de la Albufera 76"
"acc_4_210_504","Avda de Leganés SN"
"acc_4_210_505","Avda de Leganés SN"
"acc_4_211_506","Paseo de Extremadura 13"
"acc_4_211_507","Paseo de Extremadura 17"
"acc_4_211_508","Avda de Móstoles 12"
"acc_4_211_509","Avda de Móstoles 12"
"acc_4_211_582","Calle de Berlín 2"
"acc_4_211_583","Calle de Berlín 2"
"acc_4_211_584","Calle de Berlín 2"
"acc_4_212_510","Calle de Estambul 16"
"acc_4_212_511","Calle de Estambul 16"
"acc_4_213_512","Avda del Alcalde de Móstoles 35"
"acc_4_213_513","Avda del Alcalde de Móstoles 35"
"acc_4_213_576","Avda del Alcalde de Móstoles 35"
"acc_4_214_514","Paseo de la Estación 13"
"acc_4_214_515","Paseo de la Estación 13"
"acc_4_214_586","Calle  Parque Vosa 35"
"acc_4_214_587","Calle  Parque Vosa 35"
"acc_4_215_516","Plaza del Pradillo SN"
"acc_4_215_517","Plaza del Pradillo SN"
"acc_4_216_518","Calle del Río Sella 10"
"acc_4_216_519","Calle del Río Sella 10"
"acc_4_217_520","Cmno de la Magdalena SN"
"acc_4_217_521","Cmno de la Magdalena SN"
"acc_4_218_522","Avda de Pablo Iglesias 1"
"acc_4_218_523","Calle de la Alegría 4"
"acc_4_218_524","Calle de la Alegría 4"
"acc_4_219_525","Cmno del Molino 2"
"acc_4_219_526","Cmno del Molino SN"
"acc_4_219_527","Cmno del Molino 2"
"acc_4_21_70","Avda de la Albufera 108"
"acc_4_21_71","Avda de la Albufera 117"
"acc_4_21_72","Avda de la Albufera 145"
"acc_4_21_73","Avda de la Albufera 130"
"acc_4_220_528","Calle de Francia 34"
"acc_4_220_529","Calle de Francia 36"
"acc_4_221_530","Paseo de la Estación SN"
"acc_4_221_531","Calle de la Estación SN"
"acc_4_221_589","Plaza  Constitución SN"
"acc_4_221_590","Plaza  Constitución SN"
"acc_4_222_532","Avda de los Estados 10"
"acc_4_222_533","Calle de la Habana 2"
"acc_4_222_534","Calle de Venezuela 2"
"acc_4_223_535","Calle de las Ciencias 14"
"acc_4_223_536","Calle de las Ciencias 14"
"acc_4_224_537","Avda de las Arcas del agua 9"
"acc_4_224_538","Avda de las Arcas del agua 9"
"acc_4_225_539","Calle del Greco 2"
"acc_4_225_540","Calle del Greco 8"
"acc_4_226_543","Calle del Muelle 1"
"acc_4_226_544","Calle  Ferrocarril SN"
"acc_4_226_545","Calle  Ferrocarril SN"
"acc_4_227_546","Avda de España 16"
"acc_4_227_547","Avda de España 5"
"acc_4_227_548","Avda de España 9"
"acc_4_228_1084","Calle de la Gitanilla SN"
"acc_4_228_1085","Calle de la Gitanilla SN"
"acc_4_228_549","Avda del Casar SN"
"acc_4_228_550","Avda del Casar SN"
"acc_4_229_551","Avda  Rigoberta Menchú 3"
"acc_4_229_552","Avda de Rigoberta Menchú 3"
"acc_4_22_74","Avda de la Albufera 179"
"acc_4_22_75","Avda de la Albufera 140"
"acc_4_230_553","Avda  Comandante José Manuel Ripollés 4"
"acc_4_231_555","Avda  Rey Juan Carlos I 108"
