"shape_id","shape_pt_lat","shape_pt_sequence"
"4__10_A___1__IT_1","40.3452092520339","20000036"
"4__10_A___1__IT_1","40.345273653863","20000035"
"4__10_A___1__IT_1","40.346059992807","20000034"
"4__10_A___1__IT_1","40.3461432999613","20000033"
"4__10_A___1__IT_1","40.3462258053424","20000032"
"4__10_A___1__IT_1","40.3462803022024","20000031"
"4__10_A___1__IT_1","40.3463447116803","20000030"
"4__10_A___1__IT_1","40.3464401670782","20000029"
"4__10_A___1__IT_1","40.3465027988118","20000028"
"4__10_A___1__IT_1","40.3465646234969","20000027"
"4__10_A___1__IT_1","40.3466258292882","20000026"
"4__10_A___1__IT_1","40.3473113965349","20000025"
"4__10_A___1__IT_1","40.3476542610027","20000024"
"4__10_A___1__IT_1","40.3481248923573","20000023"
"4__10_A___1__IT_1","40.3482743484471","20000022"
"4__10_A___1__IT_1","40.3483500429677","20000021"
"4__10_A___1__IT_1","40.3484013089876","20000020"
"4__10_A___1__IT_1","40.3484531107177","20000019"
"4__10_A___1__IT_1","40.3488423685638","20000018"
"4__10_A___1__IT_1","40.3488654092762","20000017"
"4__10_A___1__IT_1","40.3488684027635","20000016"
"4__10_A___1__IT_1","40.3489198514306","20000015"
"4__10_A___1__IT_1","40.3489703162559","20000014"
"4__10_A___1__IT_1","40.3489951015365","20000013"
"4__10_A___1__IT_1","40.349043963968","20000012"
"4__10_A___1__IT_1","40.3490919353302","20000011"
"4__10_A___1__IT_1","40.3491154733917","20000010"
"4__10_A___1__IT_1","40.3492318348923","20000009"
"4__10_A___1__IT_1","40.349302546711","20000008"
"4__10_A___1__IT_1","40.3493740649217","20000007"
"4__10_A___1__IT_1","40.3494357292353","20000006"
"4__10_A___1__IT_1","40.3494774898259","20000005"
"4__10_A___1__IT_1","40.3495408459361","20000004"
"4__10_A___1__IT_1","40.349605268862","20000003"
"4__10_A___1__IT_1","40.3498073348663","20000002"
"4__10_A___1__IT_1","40.3503130955283","19000119"
"4__10_A___1__IT_1","40.3503130955283","20000001"
"4__10_A___1__IT_1","40.3507540631979","19000118"
"4__10_A___1__IT_1","40.3508522353192","19000117"
"4__10_A___1__IT_1","40.351048403539","19000116"
"4__10_A___1__IT_1","40.3511464888367","19000115"
"4__10_A___1__IT_1","40.3514691418089","19000114"
"4__10_A___1__IT_1","40.3518569305202","19000113"
"4__10_A___1__IT_1","40.3522115246253","19000112"
"4__10_A___1__IT_1","40.3525662861273","19000111"
"4__10_A___1__IT_1","40.3534028442273","19000110"
"4__10_A___1__IT_1","40.3540104804372","19000109"
"4__10_A___1__IT_1","40.3541003836285","19000108"
"4__10_A___1__IT_1","40.3542135878052","19000107"
"4__10_A___1__IT_1","40.3542894960907","19000106"
"4__10_A___1__IT_1","40.3543697422466","19000105"
"4__10_A___1__IT_1","40.3544778952457","19000104"
"4__10_A___1__IT_1","40.3545872895758","19000103"
"4__10_A___1__IT_1","40.3546702940878","19000102"
"4__10_A___1__IT_1","40.3548100830059","19000101"
"4__10_A___1__IT_1","40.3548950430304","19000100"
"4__10_A___1__IT_1","40.3550093220998","19000099"
"4__10_A___1__IT_1","40.3550626862367","19000098"
"4__10_A___1__IT_1","40.355124214958","19000097"
"4__10_A___1__IT_1","40.3552110224403","19000096"
"4__10_A___1__IT_1","40.3553277683216","19000095"
"4__10_A___1__IT_1","40.3554456708148","19000094"
"4__10_A___1__IT_1","40.3555647220378","19000093"
"4__10_A___1__IT_1","40.3556847462725","19000092"
"4__10_A___1__IT_1","40.3557754512301","19000091"
"4__10_A___1__IT_1","40.3558972427902","19000090"
"4__10_A___1__IT_1","40.3560199156586","19000089"
"4__10_A___1__IT_1","40.3561434712095","19000088"
"4__10_A___1__IT_1","40.3562368238978","19000087"
"4__10_A___1__IT_1","40.3562993510939","19000086"
"4__10_A___1__IT_1","40.3564246602845","19000085"
"4__10_A___1__IT_1","40.3564875321856","19000084"
"4__10_A___1__IT_1","40.3565821020294","19000083"
"4__10_A___1__IT_1","40.3566453211381","19000082"
"4__10_A___1__IT_1","40.3567404117849","19000081"
"4__10_A___1__IT_1","40.3568358504595","19000080"
"4__10_A___1__IT_1","40.3568996807199","19000079"
"4__10_A___1__IT_1","40.3570275944276","19000078"
"4__10_A___1__IT_1","40.3572205629408","19000077"
"4__10_A___1__IT_1","40.3574217329049","19000076"
"4__10_A___1__IT_1","40.3575024153138","19000075"
"4__10_A___1__IT_1","40.3576626033757","19000074"
"4__10_A___1__IT_1","40.357926124419","19000073"
"4__10_A___1__IT_1","40.3581430779228","19000072"
"4__10_A___1__IT_1","40.3608766920347","19000071"
"4__10_A___1__IT_1","40.3619223988532","19000070"
"4__10_A___1__IT_1","40.3623694071094","19000069"
"4__10_A___1__IT_1","40.3624385408617","19000068"
"4__10_A___1__IT_1","40.362807582401","19000067"
"4__10_A___1__IT_1","40.3632500903901","19000066"
"4__10_A___1__IT_1","40.3634701230327","19000065"
"4__10_A___1__IT_1","40.3639258999708","19000064"
"4__10_A___1__IT_1","40.3644403271217","19000063"
"4__10_A___1__IT_1","40.3647526090056","19000062"
"4__10_A___1__IT_1","40.3651876239935","19000061"
"4__10_A___1__IT_1","40.3661920402008","19000060"
"4__10_A___1__IT_1","40.3664276050964","19000059"
"4__10_A___1__IT_1","40.3666964545485","19000058"
"4__10_A___1__IT_1","40.3669511468364","19000057"
"4__10_A___1__IT_1","40.3678648655305","19000056"
"4__10_A___1__IT_1","40.3681851915993","19000055"
"4__10_A___1__IT_1","40.3687259689474","19000054"
"4__10_A___1__IT_1","40.3690752864664","19000053"
"4__10_A___1__IT_1","40.3695149138564","19000052"
"4__10_A___1__IT_1","40.3703983018684","19000051"
"4__10_A___1__IT_1","40.3708426970431","19000050"
"4__10_A___1__IT_1","40.3712839407161","19000049"
"4__10_A___1__IT_1","40.3714639014926","19000048"
"4__10_A___1__IT_1","40.3718212101174","19000047"
"4__10_A___1__IT_1","40.3719489210493","19000046"
"4__10_A___1__IT_1","40.3721086823465","19000045"
"4__10_A___1__IT_1","40.3722380414773","19000044"
"4__10_A___1__IT_1","40.372334557619","19000043"
"4__10_A___1__IT_1","40.3724622408463","19000042"
"4__10_A___1__IT_1","40.3725563508628","19000041"
"4__10_A___1__IT_1","40.3726811846811","19000040"
"4__10_A___1__IT_1","40.3728055000818","19000039"
"4__10_A___1__IT_1","40.3729292008339","19000038"
"4__10_A___1__IT_1","40.3730214772948","19000037"
"4__10_A___1__IT_1","40.3730826709646","19000036"
"4__10_A___1__IT_1","40.3731437791375","19000035"
"4__10_A___1__IT_1","40.3732351846724","19000034"
"4__10_A___1__IT_1","40.3733262395762","19000033"
"4__10_A___1__IT_1","40.3734468815966","19000032"
"4__10_A___1__IT_1","40.3735657430128","19000031"
"4__10_A___1__IT_1","40.373683723908","19000030"
"4__10_A___1__IT_1","40.3737715016975","19000029"
"4__10_A___1__IT_1","40.373888078311","19000028"
"4__10_A___1__IT_1","40.3739747140522","19000027"
"4__10_A___1__IT_1","40.3740607288284","19000026"
"4__10_A___1__IT_1","40.3741745592052","19000025"
"4__10_A___1__IT_1","40.3743441888205","19000024"
"4__10_A___1__IT_1","40.3745411014204","19000023"
"4__10_A___1__IT_1","40.3751316460101","19000022"
"4__10_A___1__IT_1","40.3753560190721","19000021"
"4__10_A___1__IT_1","40.3754112859025","19000020"
"4__10_A___1__IT_1","40.3754931222213","19000019"
"4__10_A___1__IT_1","40.3755467877599","19000018"
"4__10_A___1__IT_1","40.3756263098997","19000017"
"4__10_A___1__IT_1","40.3757046813484","19000016"
"4__10_A___1__IT_1","40.3757813621948","19000015"
"4__10_A___1__IT_1","40.3758314713269","19000014"
"4__10_A___1__IT_1","40.3759052108885","19000013"
"4__10_A___1__IT_1","40.3759764377883","19000012"
"4__10_A___1__IT_1","40.3759875247422","19000011"
"4__10_A___1__IT_1","40.3760460581921","19000010"
"4__10_A___1__IT_1","40.3760914316967","19000009"
"4__10_A___1__IT_1","40.3761360897841","19000008"
"4__10_A___1__IT_1","40.3761580159671","19000007"
"4__10_A___1__IT_1","40.3762324623083","19000006"
"4__10_A___1__IT_1","40.3763242258611","19000005"
"4__10_A___1__IT_1","40.3765046117413","19000004"
"4__10_A___1__IT_1","40.3767360923503","19000003"
"4__10_A___1__IT_1","40.3770327005765","19000002"
"4__10_A___1__IT_1","40.3770728685141","18000050"
"4__10_A___1__IT_1","40.3770728685141","19000001"
"4__10_A___1__IT_1","40.3771588172695","18000049"
"4__10_A___1__IT_1","40.3774861640009","18000048"
"4__10_A___1__IT_1","40.3776712912462","18000047"
"4__10_A___1__IT_1","40.3777353795726","18000046"
"4__10_A___1__IT_1","40.3777987545824","18000045"
"4__10_A___1__IT_1","40.3778612299271","18000044"
"4__10_A___1__IT_1","40.3779230846427","18000043"
"4__10_A___1__IT_1","40.3780143867298","18000042"
"4__10_A___1__IT_1","40.3780535001689","18000041"
"4__10_A___1__IT_1","40.3781108770474","18000040"
"4__10_A___1__IT_1","40.3781665501178","18000039"
"4__10_A___1__IT_1","40.378220612968","18000038"
"4__10_A___1__IT_1","40.3783245316541","18000037"
"4__10_A___1__IT_1","40.3784276472468","18000036"
"4__10_A___1__IT_1","40.3784628278663","18000035"
"4__10_A___1__IT_1","40.3784988169514","18000034"
"4__10_A___1__IT_1","40.3785010348683","18000033"
"4__10_A___1__IT_1","40.378535430757","18000032"
"4__10_A___1__IT_1","40.3785726728796","18000031"
"4__10_A___1__IT_1","40.3786108107887","18000030"
"4__10_A___1__IT_1","40.3786501141859","18000029"
"4__10_A___1__IT_1","40.3786903093231","18000028"
"4__10_A___1__IT_1","40.3787315806974","18000027"
"4__10_A___1__IT_1","40.3787949630374","18000026"
"4__10_A___1__IT_1","40.3788384712105","18000025"
"4__10_A___1__IT_1","40.3788827795505","18000024"
"4__10_A___1__IT_1","40.3789499104254","18000023"
"4__10_A___1__IT_1","40.3789953827016","18000022"
"4__10_A___1__IT_1","40.3790643899127","18000021"
"4__10_A___1__IT_1","40.3803584265706","18000020"
"4__10_A___1__IT_1","40.3805393177624","18000019"
"4__10_A___1__IT_1","40.3806769416101","18000018"
"4__10_A___1__IT_1","40.3807467442972","18000017"
"4__10_A___1__IT_1","40.3808406153767","18000016"
"4__10_A___1__IT_1","40.3809356512872","18000015"
"4__10_A___1__IT_1","40.38103221111","18000014"
"4__10_A___1__IT_1","40.3810809828709","18000013"
"4__10_A___1__IT_1","40.3811548109819","18000012"
"4__10_A___1__IT_1","40.3813528260511","18000011"
"4__10_A___1__IT_1","40.3814834307659","18000010"
"4__10_A___1__IT_1","40.3825052701451","18000009"
"4__10_A___1__IT_1","40.3828626632732","18000008"
"4__10_A___1__IT_1","40.3838257260615","18000007"
"4__10_A___1__IT_1","40.3839421947706","18000006"
"4__10_A___1__IT_1","40.3841062380891","18000005"
"4__10_A___1__IT_1","40.3842045711655","18000004"
"4__10_A___1__IT_1","40.3842775849523","18000003"
"4__10_A___1__IT_1","40.3843498861069","18000002"
"4__10_A___1__IT_1","40.3843974890358","17000164"
"4__10_A___1__IT_1","40.3843974890358","18000001"
"4__10_A___1__IT_1","40.384468182135","17000163"
"4__10_A___1__IT_1","40.3845377102488","17000162"
"4__10_A___1__IT_1","40.3846061693593","17000161"
"4__10_A___1__IT_1","40.3846510018765","17000160"
"4__10_A___1__IT_1","40.3847174926902","17000159"
"4__10_A___1__IT_1","40.3847609833388","17000158"
"4__10_A___1__IT_1","40.3848255956131","17000157"
"4__10_A___1__IT_1","40.3848889573301","17000156"
"4__10_A___1__IT_1","40.3849511539468","17000155"
"4__10_A___1__IT_1","40.3850122800317","17000154"
"4__10_A___1__IT_1","40.3850522859732","17000153"
"4__10_A___1__IT_1","40.3850805419837","17000152"
"4__10_A___1__IT_1","40.3851115343136","17000151"
"4__10_A___1__IT_1","40.3851698020924","17000150"
"4__10_A___1__IT_1","40.3852079310442","17000149"
"4__10_A___1__IT_1","40.3852640512116","17000148"
"4__10_A___1__IT_1","40.3853006567159","17000147"
"4__10_A___1__IT_1","40.3853542646334","17000146"
"4__10_A___1__IT_1","40.3854067969356","17000145"
"4__10_A___1__IT_1","40.385457985943","17000144"
"4__10_A___1__IT_1","40.3854913614034","17000143"
"4__10_A___1__IT_1","40.3855242932117","17000142"
"4__10_A___1__IT_1","40.385556505768","17000141"
"4__10_A___1__IT_1","40.3856191385291","17000140"
"4__10_A___1__IT_1","40.3856495562315","17000139"
"4__10_A___1__IT_1","40.3856883381198","17000138"
"4__10_A___1__IT_1","40.3857511806872","17000137"
"4__10_A___1__IT_1","40.3857878096595","17000136"
"4__10_A___1__IT_1","40.3858185802641","17000135"
"4__10_A___1__IT_1","40.3858793142807","17000134"
"4__10_A___1__IT_1","40.3859239884238","17000133"
"4__10_A___1__IT_1","40.3860322098457","17000132"
"4__10_A___1__IT_1","40.3861121724265","17000131"
"4__10_A___1__IT_1","40.3861393678609","17000130"
"4__10_A___1__IT_1","40.3861671029659","17000129"
"4__10_A___1__IT_1","40.3862095984966","17000128"
"4__10_A___1__IT_1","40.386267757419","17000127"
"4__10_A___1__IT_1","40.386312941988","17000126"
