"stop_id","stop_desc","stop_lat","stop_lon","location_type","wheelchair_boarding"
"par_4_261","","40.47203","-3.68259","0","2"
"par_4_262","","40.47682","-3.67637","0","2"
"par_4_263","","40.48014","-3.6668","0","2"
"par_4_264","","40.47537","-3.65257","0","2"
"par_4_265","","40.47687","-3.6629","0","2"
"par_4_266","","40.48014","-3.66676","0","2"
"par_4_267","","40.38409","-3.69788","0","2"
"par_4_268","","40.37503","-3.69585","0","2"
"par_4_269","","40.36999","-3.69418","0","2"
"par_4_27","","40.37238","-3.61884","0","2"
"par_4_270","","40.35959","-3.69363","0","2"
"par_4_271","","40.35089","-3.69265","0","2"
"par_4_272","","40.34154","-3.69318","0","2"
"par_4_273","","40.34123","-3.71199","0","2"
"par_4_274","","40.5012","-3.6952","0","2"
"par_4_275","","40.50525","-3.69575","0","2"
"par_4_276","","40.50833","-3.66944","0","2"
"par_4_277","","40.51553","-3.66277","0","2"
"par_4_278","","40.5276","-3.65859","0","2"
"par_4_279","","40.53196","-3.63556","0","2"
"par_4_28","","40.43088","-3.66366","0","0"
"par_4_280","","40.54102","-3.63738","0","2"
"par_4_281","","40.55048","-3.64688","0","2"
"par_4_282","","40.55442","-3.63513","0","2"
"par_4_283","","40.55037","-3.6234","0","2"
"par_4_284","","40.55977","-3.61145","0","2"
"par_4_285","","40.49177","-3.59325","0","2"
"par_4_286","","40.43339","-3.60015","0","2"
"par_4_287","","40.4225","-3.56919","0","2"
"par_4_288","","40.42374","-3.56119","0","2"
"par_4_289","","40.42514","-3.54792","0","2"
"par_4_29","","40.4279","-3.66926","0","0"
"par_4_290","","40.42441","-3.53541","0","2"
"par_4_291","","40.42295","-3.52549","0","2"
"par_4_292","","40.41777","-3.52718","0","2"
"par_4_293","","40.37019","-3.61346","0","2"
"par_4_294","","40.36323","-3.59953","0","2"
"par_4_295","","40.36007","-3.59316","0","2"
"par_4_296","","40.41761","-3.53453","0","2"
"par_4_3","","40.46055","-3.69825","0","0"
"par_4_30","","40.42455","-3.67591","0","2"
"par_4_300","","40.34134","-3.52479","0","2"
"par_4_305","","40.35795","-3.77783","0","0"
"par_4_31","","40.42294","-3.68012","0","0"
"par_4_32","","40.42031","-3.68624","0","0"
"par_4_322","","40.42361","-3.63914","0","0"
"par_4_323","","40.41829","-3.62351","0","0"
"par_4_324","","40.42239","-3.61206","0","0"
"par_4_325","","40.42375","-3.60331","0","0"
"par_4_326","","40.4911","-3.71634","0","0"
"par_4_33","","40.41922","-3.69497","0","0"
"par_4_34","","40.41805","-3.69925","0","0"
"par_4_345","","40.49965","-3.70908","0","0"
"par_4_35","","40.41685","-3.70326","0","1"
"par_4_36","","40.41809","-3.70942","0","0"
"par_4_37","","40.42132","-3.70796","0","0"
"par_4_38","","40.42484","-3.70742","0","0"
"par_4_39","","40.43001","-3.70557","0","0"
"par_4_4","","40.45429","-3.70302","0","0"
"par_4_40","","40.43322","-3.70433","0","0"
"par_4_41","","40.43841","-3.70433","0","2"
"par_4_42","","40.44697","-3.70392","0","2"
"par_4_43","","40.39116","-3.69511","0","2"
"par_4_44","","40.3999","-3.6942","0","2"
"par_4_45","","40.40307","-3.69423","0","2"
"par_4_46","","40.40513","-3.70268","0","2"
"par_4_47","","40.40851","-3.7009","0","2"
"par_4_48","","40.41682","-3.70326","0","1"
"par_4_49","","40.42014","-3.70566","0","2"
"par_4_5","","40.45033","-3.70331","0","0"
"par_4_50","","40.42342","-3.7112","0","2"
