"WBInteractionID","Interaction_type","Interaction_subtype","Interactor1","Interactor2"
"WBInteraction000000079","Genetic","Genetic_interaction","WBGene00003168","WBGene00003170"
"WBInteraction000000080","Genetic","Genetic_interaction","WBGene00006316","WBGene00006606"
"WBInteraction000000081","Genetic","Genetic_interaction","WBGene00001072","WBGene00004397"
"WBInteraction000000082","Genetic","Genetic_interaction","WBGene00002299","WBGene00003004"
"WBInteraction000000083","Genetic","Genetic_interaction","WBGene00001842","WBGene00004745"
"WBInteraction000000084","Genetic","Genetic_interaction","WBGene00004745","WBGene00006962"
"WBInteraction000000085","Genetic","Genetic_interaction","WBGene00001842","WBGene00004746"
"WBInteraction000000086","Genetic","Genetic_interaction","WBGene00004746","WBGene00006962"
"WBInteraction000000087","Genetic","Genetic_interaction","WBGene00004010","WBGene00018164"
"WBInteraction000000088","Genetic","Genetic_interaction","WBGene00004010","WBGene00006342"
"WBInteraction000000089","Genetic","Genetic_interaction","WBGene00000254","WBGene00001071"
"WBInteraction000000090","Genetic","Genetic_interaction","WBGene00004397","WBGene00005017"
"WBInteraction000000091","Genetic","Genetic_interaction","WBGene00001609","WBGene00004879"
"WBInteraction000000092","Genetic","Genetic_interaction","WBGene00006759","WBGene00006789"
"WBInteraction000000093","Genetic","Genetic_interaction","WBGene00000898","WBGene00000908"
"WBInteraction000000094","Genetic","Genetic_interaction","WBGene00000907","WBGene00000912"
"WBInteraction000000095","Genetic","Genetic_interaction","WBGene00000907","WBGene00000908"
"WBInteraction000000096","Genetic","Genetic_interaction","WBGene00000908","WBGene00000910"
"WBInteraction000000097","Genetic","Genetic_interaction","WBGene00000904","WBGene00000908"
"WBInteraction000000098","Genetic","Genetic_interaction","WBGene00000898","WBGene00000912"
"WBInteraction000000099","Genetic","Genetic_interaction","WBGene00000898","WBGene00000913"
"WBInteraction000000101","Genetic","Genetic_interaction","WBGene00000898","WBGene00000901"
"WBInteraction000000102","Genetic","Genetic_interaction","WBGene00000897","WBGene00000899"
"WBInteraction000000103","Genetic","Genetic_interaction","WBGene00000899","WBGene00000910"
