"interaction","gene","title","cosmid"
"","http://bio2rdf.org/wormbase:WBGene00077712","WBGene00077712 (nipi-4)","F40A3.5"
"","http://bio2rdf.org/wormbase:WBGene00077715","WBGene00077715 (mir-1818)","Y71A12B.20"
"","http://bio2rdf.org/wormbase:WBGene00077716","WBGene00077716 (mir-1819)","R11.5"
"","http://bio2rdf.org/wormbase:WBGene00077717","WBGene00077717 (mir-1823)","T07D10.9"
"","http://bio2rdf.org/wormbase:WBGene00077718","WBGene00077718 (mir-1824)","Y87G2A.21"
"","http://bio2rdf.org/wormbase:WBGene00077719","WBGene00077719 (mir-1828)","T22A3.9"
"","http://bio2rdf.org/wormbase:WBGene00077720","WBGene00077720 (mir-1833)","Y41E3.214"
"","http://bio2rdf.org/wormbase:WBGene00077721","WBGene00077721 (mir-1022)","K10C2.9"
"","http://bio2rdf.org/wormbase:WBGene00077722","WBGene00077722 (mir-58.2)","Y73B6A.7"
"","http://bio2rdf.org/wormbase:WBGene00077723","WBGene00077723 (mir-1830)","B0286.7"
"","http://bio2rdf.org/wormbase:WBGene00077724","WBGene00077724 (mir-1831)","C15F1.10"
"","http://bio2rdf.org/wormbase:WBGene00077725","WBGene00077725 (mir-1832.1)","C18D11.11"
"","http://bio2rdf.org/wormbase:WBGene00077726","WBGene00077726 (mir-1820)","C46A5.10"
"","http://bio2rdf.org/wormbase:WBGene00077727","WBGene00077727 (mir-1821)","F59D6.9"
"","http://bio2rdf.org/wormbase:WBGene00077732","WBGene00077732 (szy-4)","C30B5.1"
"","http://bio2rdf.org/wormbase:WBGene00077751","WBGene00077751 (irld-27)","F14D2.17"
"","http://bio2rdf.org/wormbase:WBGene00077758","WBGene00077758 (irld-12)","K12D9.14"
"","http://bio2rdf.org/wormbase:WBGene00077759","WBGene00077759 (irld-51)","T11F1.9"
"","http://bio2rdf.org/wormbase:WBGene00077761","WBGene00077761 (zip-9)","F17C11.17"
"","http://bio2rdf.org/wormbase:WBGene00077763","WBGene00077763 (glb-34)","Y57G11B.97"
"","http://bio2rdf.org/wormbase:WBGene00077766","WBGene00077766 (rgba-1)","F17B5.9"
"","http://bio2rdf.org/wormbase:WBGene00077775","WBGene00077775 (nlp-58)","T07C12.15"
"","http://bio2rdf.org/wormbase:WBGene00086546","WBGene00086546 (cil-1)","C50C3.7"
"","http://bio2rdf.org/wormbase:WBGene00138721","WBGene00138721 (pals-37)","C54D10.14"
"","http://bio2rdf.org/wormbase:WBGene00164991","WBGene00164991 (21ur-13442)","Y51H4A.403"
"","http://bio2rdf.org/wormbase:WBGene00164992","WBGene00164992 (21ur-9698)","Y40H7A.148"
"","http://bio2rdf.org/wormbase:WBGene00164993","WBGene00164993 (21ur-13666)","Y116A8A.66"
"","http://bio2rdf.org/wormbase:WBGene00164994","WBGene00164994 (21ur-9733)","Y105C5A.509"
"","http://bio2rdf.org/wormbase:WBGene00164995","WBGene00164995 (21ur-15156)","Y4C6B.29"
"","http://bio2rdf.org/wormbase:WBGene00164996","WBGene00164996 (21ur-13838)","Y116A8C.200"
"","http://bio2rdf.org/wormbase:WBGene00164997","WBGene00164997 (21ur-10879)","Y105C5A.510"
"","http://bio2rdf.org/wormbase:WBGene00164998","WBGene00164998 (21ur-10162)","Y7A9A.27"
"","http://bio2rdf.org/wormbase:WBGene00164999","WBGene00164999 (21ur-8062)","Y67A10A.146"
"","http://bio2rdf.org/wormbase:WBGene00165000","WBGene00165000 (21ur-10875)","C06E7.46"
"","http://bio2rdf.org/wormbase:WBGene00165001","WBGene00165001 (21ur-8807)","Y51H4A.404"
"","http://bio2rdf.org/wormbase:WBGene00165002","WBGene00165002 (21ur-13275)","Y73B6BR.6"
"","http://bio2rdf.org/wormbase:WBGene00165003","WBGene00165003 (21ur-10772)","Y105C5B.612"
"","http://bio2rdf.org/wormbase:WBGene00165004","WBGene00165004 (21ur-12132)","Y64G10A.166"
"","http://bio2rdf.org/wormbase:WBGene00165005","WBGene00165005 (21ur-12650)","Y43D4A.69"
"","http://bio2rdf.org/wormbase:WBGene00165006","WBGene00165006 (21ur-10780)","Y40H7A.149"
