"stop_id","stop_name","location_type","parent_station"
"acc_4_129_341","Pza. Alto de Extremadura","2","est_4_129"
"acc_4_129_342","Francisco Brizuela","2","est_4_129"
"acc_4_12_1034","Alcalá","2","est_90_58"
"acc_4_12_1048","RENFE","2","est_90_58"
"acc_4_12_41","Carretas","2","est_90_58"
"acc_4_12_42","Carmen","2","est_90_58"
"acc_4_12_43","Mayor","2","est_90_58"
"acc_4_12_776","Ascensor","2","est_90_58"
"acc_4_12_777","Preciados","2","est_90_58"
"acc_4_130_343","Cebreros","2","est_4_130"
"acc_4_130_344","Higueras","2","est_4_130"
"acc_4_130_345","Ascensor","2","est_4_130"
"acc_4_132_346","Avda. de Niza impares","2","est_4_132"
"acc_4_132_802","Avda. de Niza pares","2","est_4_132"
"acc_4_133_347","Pobladura del Valle pares","2","est_4_133"
"acc_4_133_348","Pobladura del Valle impares","2","est_4_133"
"acc_4_134_349","Amposta","2","est_4_134"
"acc_4_134_350","Castillo de Uclés","2","est_4_134"
"acc_4_134_351","Zaratán","2","est_4_134"
"acc_4_135_352","Hermanos García Noblejas","2","est_4_135"
"acc_4_135_353","José Arcones Gil","2","est_4_135"
"acc_4_136_354","Ascao","2","est_4_136"
"acc_4_138_355","Martínez Villergas","2","est_4_138"
"acc_4_138_356","Virgen del Romero","2","est_4_138"
"acc_4_139_357","Avda. de Bruselas impares","2","est_4_139"
"acc_4_139_358","Avda. de Bruselas pares","2","est_4_139"
"acc_4_13_44","Conde de Romanones","2","est_4_13"
"acc_4_13_45","Magdalena","2","est_4_13"
"acc_4_140_359","Avda. de América pares","2","est_4_140"
"acc_4_140_360","Avda. de América impares","2","est_4_140"
"acc_4_142_361","Miguel Angel","2","est_4_142"
"acc_4_142_362","José Abascal","2","est_4_142"
"acc_4_142_363","Ascensor","2","est_4_142"
"acc_4_143_364","José Abascal - Alonso Cano","2","est_4_143"
"acc_4_143_365","José Abascal - Ponzano","2","est_4_143"
"acc_4_143_366","Ascensor","2","est_4_143"
"acc_4_145_367","Cea Bermúdez pares - Gaztambide","2","est_4_145"
"acc_4_145_368","Cea Bermúdez impares - Gaztambide","2","est_4_145"
"acc_4_145_369","Ascensor","2","est_4_145"
"acc_4_145_370","Cea Bermúdez pares - Guzmán el Bueno","2","est_4_145"
"acc_4_145_371","Cea Bermúdez impares - Guzmán el Bueno","2","est_4_145"
"acc_4_147_372","Moguer","2","est_4_147"
"acc_4_147_373","Alejandro Rodríguez","2","est_4_147"
"acc_4_147_374","Pablo Iglesias impares - Francos Rodriguez","2","est_4_147"
"acc_4_147_375","Pablo Iglesias pares - Francos Rodriguez","2","est_4_147"
"acc_4_147_376","Ascensor","2","est_4_147"
"acc_4_148_377","San Restituto","2","est_4_148"
"acc_4_148_378","Ascensor","2","est_4_148"
"acc_4_148_379","Emerenciana Zurilla","2","est_4_148"
"acc_4_148_380","Armenteros","2","est_4_148"
"acc_4_149_381","Valderrodrigo - Valdesangil","2","est_4_149"
"acc_4_149_382","Valderrodrigo","2","est_4_149"
"acc_4_149_383","Ascensor","2","est_4_149"
"acc_4_14_46","Amor de Dios","2","est_4_14"
